chr1	0	137342178	Low
chr1	137342178	162775915	High
chr1	162775915	249250621	Low
chr10	0	27660152	Low
chr10	27660152	60852335	High
chr10	60852335	135534747	Low
chr11	0	11020940	High
chr11	11020940	46838995	Low
chr11	46838995	88167520	High
chr11	88167520	135006516	Low
chr12	0	62828440	High
chr12	62828440	133851895	Low
chr13	0	16452839	Low
chr13	16452839	30555273	High
chr13	30555273	44657707	Low
chr13	44657707	51708924	High
chr13	51708924	101067443	Low
chr13	101067443	115169878	High
chr14	0	10954034	Low
chr14	10954034	32862104	High
chr14	32862104	48197752	Low
chr14	48197752	65724208	High
chr14	65724208	96395505	Low
chr14	96395505	107349540	High
chr15	0	16739819	Low
chr15	16739819	39757070	High
chr15	39757070	71144231	Low
chr15	71144231	94161482	High
chr15	94161482	102531392	Low
chr16	0	11063847	Low
chr16	11063847	40567440	High
chr16	40567440	90354753	Low
chr17	0	14913405	Low
chr17	14913405	49711353	High
chr17	49711353	56339533	Low
chr17	56339533	67938849	High
chr17	67938849	81195210	Low
chr18	0	33461677	High
chr18	33461677	78077248	Low
chr19	0	28961134	High
chr19	28961134	30167848	Low
chr19	30167848	59128983	High
chr2	0	79412040	Low
chr2	79412040	114154807	High
chr2	114154807	129044565	Low
chr2	129044565	138971070	High
chr2	138971070	243199373	Low
chr20	0	18007291	Low
chr20	18007291	63025520	High
chr21	0	4911213	Low
chr21	4911213	20627097	High
chr21	20627097	29467282	Low
chr21	29467282	38307467	High
chr21	38307467	45183166	Low
chr21	45183166	48129895	High
chr22	0	13611415	Low
chr22	13611415	32457990	High
chr22	32457990	39787214	Low
chr22	39787214	45022374	High
chr22	45022374	51304566	Low
chr3	0	125279496	Low
chr3	125279496	133362044	High
chr3	133362044	198022430	Low
chr4	0	23406646	High
chr4	23406646	191154276	Low
chr5	0	62766518	Low
chr5	62766518	84919407	High
chr5	84919407	180915260	Low
chr6	0	17460721	Low
chr6	17460721	41905730	High
chr6	41905730	171115067	Low
chr7	0	48715917	Low
chr7	48715917	81193195	High
chr7	81193195	159138663	Low
chr8	0	23896166	High
chr8	23896166	146364022	Low
chr9	0	34582881	Low
chr9	34582881	54756228	High
chr9	54756228	63401948	Low
chr9	63401948	77811482	High
chr9	77811482	89339109	Low
chr9	89339109	97984829	High
chr9	97984829	141213431	Low
chrX	0	41194230	Low
chrX	41194230	63375738	High
chrX	63375738	155270560	Low
chrY	0	32716046	High
chrY	32716046	59373566	Low
