chr1	0	137342178	Low
chr1	162775915	249250621	Low
chr10	0	30426167	Low
chr10	58086320	135534747	Low
chr11	11020940	46838995	Low
chr11	82657050	135006516	Low
chr12	24585041	32780055	Low
chr12	60096769	133851895	Low
chr13	0	18803245	Low
chr13	30555273	103417849	Low
chr14	0	10954034	Low
chr14	32862104	48197752	Low
chr14	61342594	98586312	Low
chr15	0	16739819	Low
chr15	39757070	71144231	Low
chr15	92069005	102531392	Low
chr16	0	11063847	Low
chr16	40567440	90354753	Low
chr17	0	14913405	Low
chr17	49711353	56339533	Low
chr17	67938849	81195210	Low
chr18	33461677	78077248	Low
chr19	27754420	31374562	Low
chr2	0	84375292	Low
chr2	109191555	243199373	Low
chr20	0	18007291	Low
chr20	39873288	42445758	Low
chr21	0	4911213	Low
chr21	20627097	29467282	Low
chr21	38307467	46165409	Low
chr22	0	13611415	Low
chr22	30363926	39787214	Low
chr22	45022374	51304566	Low
chr3	0	198022430	Low
chr4	19505538	191154276	Low
chr5	0	62766518	Low
chr5	84919407	180915260	Low
chr6	0	20952865	Low
chr6	38413586	171115067	Low
chr7	0	48715917	Low
chr7	81193195	159138663	Low
chr8	23896166	146364022	Low
chr9	0	34582881	Low
chr9	51874321	63401948	Low
chr9	77811482	89339109	Low
chr9	97984829	141213431	Low
chrX	0	41194230	Low
chrX	63375738	155270560	Low
chrY	32716046	59373566	Low
