Start	End	chromID	winID	Chromosome	Length(bp)	('invCenters', 'NHCenters', 'NAHRCenters', 'allRepCounts', 'intraRepCounts', 'BhererRegsNum', 'SpenceRegsNum', 'BhererRegsMean', 'SpenceRegsMean', 'BhererRegsWeightMean', 'SpenceRegsWeightMean')	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	BhererRegsNum	SpenceRegsNum	BhererRegsMean	SpenceRegsMean	BhererRegsWeightMean	SpenceRegsWeightMean
158946	7946739	chr10p	chr10p0	chr10	7787794	0	1.0	0.0	1.0	48.0	34.0	3403.0	4196.0	4.393966397941472	0.8880791020829362	2.497898833130378	0.3512496461116098
7946740	15734533	chr10p	chr10p1	chr10	7787794	0	1.0	1.0	0.0	224.0	18.0	3839.0	3754.0	3.633931132141352	0.6840664499600426	2.071193145152995	0.28940242122908816
15734534	23522327	chr10p	chr10p2	chr10	7787794	0	1.0	1.0	0.0	82.0	30.0	2541.0	2372.0	2.16977155909921	0.5074369164249578	1.0180104786477913	0.18720983308652195
23522328	31310121	chr10p	chr10p3	chr10	7787794	0	0.0	0.0	0.0	292.0	140.0	2873.0	3608.0	2.9307924491754282	0.5938550108508869	1.3964305429230073	0.20021390801547234
31310122	39097915	chr10p	chr10p4	chr10	7787794	0	1.0	0.0	1.0	588.0	100.0	1718.0	2265.0	1.7734752243680092	0.2810217501103753	0.4746377562416557	0.09814888177714286
39154727	58418470	chr10q	chr10q0	chr10	19263744	0	1.0	1.0	0.0	1672.0	938.0	3659.0	7562.0	1.803311595470393	0.26384621224914045	0.5919902559741008	0.16768692549092318
58418471	77682214	chr10q	chr10q1	chr10	19263744	0	2.0	2.0	0.0	184.0	56.0	5638.0	6807.0	2.2129843188518645	0.33627536091214927	0.9252385615781749	0.11972393516783178
77682215	96945958	chr10q	chr10q2	chr10	19263744	0	1.0	1.0	0.0	466.0	242.0	6051.0	6247.0	2.392830741764136	0.4588752545846006	1.0792214919536147	0.15445698039962322
96945959	116209702	chr10q	chr10q3	chr10	19263744	0	0.0	0.0	0.0	174.0	14.0	5361.0	5948.0	1.9832159371701137	0.33890082092299934	0.947453452305805	0.13344779636269852
116209703	135473446	chr10q	chr10q4	chr10	19263744	0	1.0	1.0	0.0	168.0	34.0	7703.0	8740.0	3.533396671699791	0.6741511822231121	2.058768114262521	0.2649722672744089
241489	10472177	chr11p	chr11p0	chr11	10230689	0	1.0	0.0	1.0	556.0	98.0	3498.0	5482.0	3.220510613553618	0.6597483124534841	1.7878501115042342	0.2886824626261085
10472178	20702866	chr11p	chr11p1	chr11	10230689	0	0.0	0.0	0.0	158.0	22.0	4219.0	4074.0	3.7484238925776694	0.6212364070029455	1.680737068033571	0.2323706616463255
20702867	30933555	chr11p	chr11p2	chr11	10230689	0	1.0	1.0	0.0	34.0	0.0	3186.0	4335.0	2.7211565162001277	0.41707225362399075	1.010264865013049	0.1452993623981448
30933556	41164244	chr11p	chr11p3	chr11	10230689	0	0.0	0.0	0.0	56.0	6.0	3055.0	3601.0	2.835608593368397	0.3682373917372952	1.1422227804166516	0.14497204514601747
41164245	51394933	chr11p	chr11p4	chr11	10230689	0	0.0	0.0	0.0	526.0	308.0	1893.0	3794.0	2.092810732322302	0.22153109817343172	0.43063424259303706	0.09015465454155595
51592477	68262935	chr11q	chr11q0	chr11	16670459	0	2.0	2.0	0.0	738.0	228.0	2558.0	5547.0	1.4188402418941168	0.15323390896484587	0.5839236672777446	0.6193397768434762
68262936	84933394	chr11q	chr11q1	chr11	16670459	0	1.0	0.0	1.0	784.0	90.0	4920.0	5845.0	2.196262839691963	0.36925227380804104	1.0431200082825436	0.14483302789340777
84933395	101603853	chr11q	chr11q2	chr11	16670459	0	0.0	0.0	0.0	452.0	234.0	4947.0	5268.0	1.9632004250646862	0.35982511229119213	0.7931834327426128	0.1313744025515827
101603854	118274312	chr11q	chr11q3	chr11	16670459	0	0.0	0.0	0.0	196.0	34.0	5229.0	4890.0	2.317347078378365	0.42056971880777094	1.0714946156740501	0.1455839997484914
118274313	134944771	chr11q	chr11q4	chr11	16670459	0	0.0	0.0	0.0	178.0	36.0	6516.0	7555.0	3.6247099424000844	0.6309103236690933	2.0313112995505556	0.2558741432845902
191619	7004288	chr12p	chr12p0	chr12	6812670	0	0.0	0.0	0.0	82.0	20.0	2626.0	3525.0	4.079848469516488	0.8774358154638298	2.5555278105036843	0.3544584860318848
7004289	13816958	chr12p	chr12p1	chr12	6812670	0	0.0	0.0	0.0	622.0	134.0	2499.0	3188.0	2.8627538149961453	0.5921739628481807	1.7829332864011813	0.2401602392013703
